user_id,suma_dinero_gastado
--000--,397.78000000000003
--ace--,166.82
--ionex--,99.92999999999999
-2SV-vuLB-Kg,427.5
-404PageNotFound-,1509.32
-AnimeIsMyThing-,1194.44
-Azsael-,2381.7
-Beave-,54.95
-Encore-,262.8
-GM-Dragon,822.47
-I_AM_EPIC-,129.94
-JT,224.87
-Kenny,1538.1399999999999
-KillZone-,1220.29
-Mad-,3627.25
-Naughty-,467.77
-PRoSlayeR-,2485.42
-SEVEN-,3499.3399999999997
-SatansLittleHelper-,323.78
-Thyme-,514.69
-Ultrix,1362.95
-Uplink-,1511.18
-Zovix-,224.87
-_PussyDestroyer_-,355.69
-_skIzZ_-,374.81
-fastrvrs-,195.89000000000001
-iBubble,127.88
-kainey9777,1022.54
-xKyox-,195.85
0-3-0,1632.95
00000000000000000001227,1037.3
00000003010,328.71
0000FF,144.91
000Infinity000,109.97
001000111000111000010,728.42
001002130882,14.99
001010001,320.82
0041287,144.92
00454211432342,137.88
005577,2896.2799999999997
00690069006900,796.36
0071945,4917.86
007james_bond,2108.62
007thesilence,596.67
00810cccyyykkk,19.98
008port,413.68
0099654321891111,188.86
00True,302.86
00nana,29.979999999999997
01001000-01101001,1333.22
010195345,0.0
0102705195,0.0
010607,215.81
011000100001000111,771.56
011011010111001000101110,101.88
011111135489484797,29.979999999999997
01120477677,233.88
0112937783,429.81
01189958889189157253,1774.79
0118999881999119,1314.94
01221733,558.61
0136849195,128.92
01398279857934,14.99
018302,502.67999999999995
01shan,24.98
0212030,104.94999999999999
022899,1133.4
0248359,223.88
025652,0.0
0271975108,669.6899999999999
0305089,567.57
03092002,255.89
03375616256,9.99
0402593613,19.98
04061993,1009.33
04092013,592.1
041112016,1364.27
0412734634,59.96
0412827540,144.91
042153100,1522.23
0421874858,340.8
04280122,1185.4
0432-026-no,79.93
04536829290339393838,130.89
0468313256,99.88
0488456,249.85999999999999
05041129,277.78
05461025,550.61
05511301,1577.73
05zhehan,89.94999999999999
066600,468.8
0700464574757,383.71999999999997
07846813956825,1141.33
0814551,171.89000000000001
0827777,0.99
0854029092,19.99
0862770364,148.92
0896398616,1119.69
0898786879898,69.96
08alross,4130.66
0903512455,199.85
09106,1152.1
091263,2993.87
092982943,94.93
0935659130,466.76
094553552,689.55
095732,179.85999999999999
095843067,2630.62
098765432108642,179.91
09876543231,200.84
098766catdogbnmnnn,227.84
09895749373554,345.74
0996633,601.6999999999999
0FI3MWAJS2849023N,331.78
0fficiaIfIaw,38.97
0nlyb0nes,224.91
0rangeZ3r0,143.88
0x0B00B135,500.62
0x426F,1728.83
1-800-Invisible,5812.0199999999995
10000000thVisitor,1100.19
1000000sdsd,54.97
100011101011,347.84
1000jaus,642.64
1001101001110101,3348.65
100355,524.66
10051997,1239.18
10101010101010109,3706.11
101010101111,377.81
101010102,70.93
1010102,223.85
101013483181348,14.99
1010231464,44.97
1011001,1223.17
1011010101101101010101,634.53
1011012001,49.96
101316,254.84
1016523030,0.0
101676057,270.86
10197226,271.74
101thegreenguy,1263.62
102547508,19.99
102598615,161.85999999999999
1032165460,64.95
1052218979baidu,237.87
10817,334.8
109284293753647,1837.9099999999999
10936543792,1033.25
10948278193,69.96
109leonidas,1841.86
10Degree,1236.09
10gp,169.89
10outof10matee,1209.24
10oyard,209.88
11010011011,1588.02
1101167413,531.66
110211021,488.62
110321565469,817.99
1103703132946,722.55
111190869,798.56
111222333222111,274.83
111222333444555666888,1151.3799999999999
11123xxx3122,59.95
11124,440.71
11141995,566.58
111s,2259.26
111zerosen,419.52
1122305938,2374.75
112asdasfasdasd,0.0
11345678,247.85999999999999
113595,1059.41
1136579070,686.5899999999999
11464789,301.79
11567jj,466.73999999999995
1163321,361.81
117007,129.92
117331,341.75
117a2,119.92999999999999
117arbiter,1577.53
11925219096,682.64
119922883377446655123456789,263.82
11XGX,2637.35
12021988,0.0
120445,935.77
120488700,264.92
12110604,194.89
1212343456567878909,340.82
12123871234989120,147.88
12125,1347.17
1214551565454556,0.0
121478,1599.2
121598558,0.0
12223536,2011.1399999999999
122249_700b,318.74
122799,54.97
123123123131231231,295.87
12312312332123,205.86
12312341244123,519.77
1231343263534243534,540.65
123232343432555686888554456555,623.67
1232999,732.67
12332165478953761,748.53
1233451231252123,204.91
1233zaazen,390.8
12341008,14.99
12341846,301.77
1234321115,524.68
1234455565,19.99
12345123456,312.82
1234567124567,439.76
12345676543456789098543,437.71
1234567810132,144.85
123456787654329,1328.24
12345678901234567890123456567890,2789.4
1234567890192837465,860.52
1234567890qweccrtht,377.78999999999996
1234567890qwertyuiop,34.98
12345678910123,4.99
12345678910a,1163.3999999999999
1234567898354127873,44.95
123456789874561232145678,2815.14
123456789_Kappa,410.25
123456789diamond987654321,700.54
1234567io9872345678765432,1356.08
12345gh,204.92000000000002
1234865654,463.64
1234derpaa,434.72999999999996
12391939123,824.91
12398uf8jg21390,307.78
12399017,160.83
123abc321,0.0
123abccba,1005.42
123amazing123,315.85
123curssin123,409.81
123franz789,54.97
123joshua321,940.3
123repulseMe,1087.25
123sharpshooter123,0.0
1242163634531636,9.98
12435674325tyughnb,480.71999999999997
12435gg,482.69
124653tf,129.97
124681,19.99
1249012512908890112890,745.08
124c7937,0.0
12524,298.8
12536475869trhgsdf,554.47
12549,223.88
12779,782.49
128463821947,69.97
12874175635ELITE,4.99
128bitbit,289.8
1294120970512,492.7
129874182,1695.91
12DeAgostoAs12HRSe26MIN,280.78
12_gauge_org,287.89
12das,44.96
1300655506nigga,302.74
13012,1322.22
131312,1661.08
1313Lcf,1959.8999999999999
131467132,448.77
13199708,1823.95
1321742413,238.85
132413244231,351.77
13272310,169.94
13371337133713337,139.97
133742069174,1028.51
1337666133766613376661337,1344.18
133774553644535355354,9.99
1337Akraken,1148.35
1337_K_REW,84.95
1337_Speak,2520.39
1337hunter,1216.84
1337leetSloth,39.97
1337lolroflmao,1911.82
1337mlg,495.53999999999996
1337putin,1759.0500000000002
1343534566,227.85
13457856281,317.76
1345adfg,0.0
134679jc333,59.96
135781,888.47
1373648137417,1603.98
137731251236671466147,5221.2699999999995
13971397,2814.44
1398199813,9.99
13lazer,5463.55
13omadragon,224.88
13salva,593.62
1408129010,244.89
142331415,1698.6599999999999
142412412124142,0.0
14372193,344.81
143865,419.76
1440454,638.58
144289919655093823,512.63
1452221660414,1565.21
1454235887,0.0
145578,1015.97
1456237,397.76
1457184935981,172.88
146847798098,49.97
14725836900,124.92
14747,1873.59
147532984,919.51
147751,202.85999999999999
14789633698741,4522.14
148203604,0.0
150010792,156.84
150230,1874.62
1513412123111331,147.85
151995,134.91
1522188745,527.64
1540359,70.97
154352,444.72
1546328127418,329.88
154930493,427.82
15511551,1103.1
155754572,114.93
15632897,3128.16
157645,4786.78
15832789427,1060.5
1591240764,372.02
15934,1694.1299999999999
159zse159,4861.07
1607426135,39.96
1626466724893520,584.68
163050995,0.0
16362426247,478.65
16395,59.959999999999994
16538,2342.99
16748438,274.88
169420666,322.74
17-04-2000,557.67
17101710,1353.09
1711338513531,210.85
171516,1556.97
1726432,189.96
17291799,154.92
172954833,0.0
173902,9.99
1739902091026,266.8
174561864923145,437.72999999999996
174gamecuman700kngkakak,1295.25
17731773,310.71
177652,494.76
17829463213,419.81
1800-Ricohut,1004.3299999999999
1800FkMyVajj,14.99
18023009,14.99
180577,578.59
18082001,675.29
18228272828,1632.12
182748927838783778382,120.9
182828282,479.71
18283848,971.5
1829369648,0.0
18481,2094.8
1850172512752815,147.41
18504965711,1041.45
1859082899,68.95
1870380085,298.79
1873410337,364.84
1875489156748,381.74
187625,390.63
18855881,2843.41
1889999999999999,249.91
19-20-5-20-27-5-18,154.88
190120001826,0.0
1920410,1074.44
19210801,215.86
1922001,508.11
1930234,586.7
19365,1376.18
19372250,1923.92
1937648259137856lkjnoik,44.96
1944086851,64.95
1947CARROTS,104.92999999999999
194847383,944.34
1956aa1,1387.69
195862,595.66
19702316748,937.31
19720911,0.0
19820182123,169.94
1994dbc,1989.98
1997-07-06_J077,29.979999999999997
19990923,224.91
199A,138.91
19te_Polska,964.43
1BUCK80,319.87
1GN33L,224.88
1MLG2U,350.57
1NFR33,1923.92
1R1M1,318.75
1UK33Y,354.78999999999996
1_Taipan,356.84
1a1u14,360.75
1dog636,1037.24
1epicninja,984.4499999999999
1iam1iam1iam,799.7
1jamesn4,930.4
1qaz2wwx010,44.97
1silentsniper1,3552.92
1snap,1925.56
1stBLUE-COW,337.78
1stpionpaul,2021.72
1sttperson,379.77
1v1meguy,3154.0299999999997
1v1meinclubpenguinscrub,329.82
1v1mim8,658.55
2000jtc,683.66
2001911,9.99
200220006,1790.04
20041213,19.98
200719917302,799.61
200px-spy-taunt-laugh,64.96
2011368123,3060.05
20115011,9.99
205723552,29.979999999999997
2080308,722.47
2092000666,160.87
210519992016,588.6
21072013,39.98
211011374,499.78
21129393,34.97
2114521846341684,149.91
2121312,34.97
2125125126,34.97
212blair212,104.92
213123123132,460.65999999999997
21321112399,184.92000000000002
2139093311,9.99
215251,312.83
216712138,878.55
218939137821738213127983,587.61
219121912191,44.97
21lord21drag,59.97
22109203,652.12
222081994,305.88
2222224444555985,204.9
2222455,1341.1499999999999
2233dog15,245.9
22491987,307.83
22502250,872.5699999999999
225544,769.51
225555,195.89000000000001
226rep,159.94
2271531450,84.91
2293371488,225.29
23012003,94.94
231091,2580.62
2311985201258745633313,341.83
231321455,274.82
23142433253545,1249.24
23184798,97.91
2323534545,1279.08
233433,22.979999999999997
2342526,619.66
23434454365463446754546576e45646,756.4499999999999
2345XXXXX,313.74
234671,144.89
235269,1110.76
235324234732,255.76
2364786499,609.52
23745736,413.8
2378695,34.98
2390746539217,355.87
23974656456,709.56
2398,151.85999999999999
23Batman05,1297.17
23jesus23,619.64
24045681579016271,29.97
24101738,59.99
243567890,44.97
2435689,626.52
2435764824567835,149.9
24453,1100.51
2448531,385.63
24532453,1141.3
24596,814.8199999999999
24681256447,67.95
246823,265.85
247211,1390.0
2479742,1245.37
248392584,30.96
248482,2793.42
24862345243,676.66
24902,402.78999999999996
249758,3243.35
24BallerJK,39.97
24CmRuler,858.5
25050,825.6
25061841,170.89
25230405,969.42
25231341243,213.85
2539428377924,812.51
256565,178.9
2571,8095.39
259987556434546,1111.7
25_Years_Since_Freddie,309.81
26070,460.74
2608739,24.98
26292919,585.62
2647891,39.97
2688789326887893,245.88
269485,3779.5699999999997
27073108,1218.3999999999999
27601MCM,299.79
27649735,0.0
2768820078,1545.27
279519365,993.54
27dnguyen,216.79
28019769,2178.94
2826,110.94
2891723967123,1908.8999999999999
28yelkco,219.84
29017637452801,496.53999999999996
291129112911291129112911,489.65
29123,229.88
2933725,0.0
2987654235,15.98
29998000,244.85
2Chill,1164.1
2Degrees,1133.44
2EzRogueDH,99.96000000000001
2JZEEEEBABY,787.57
2Lethal,1207.31
2Ryo2Know,217.85
2Ta4,3310.2799999999997
2ZESTY4ME,420.75
2amigosupremos753,0.0
2cq,9074.97
2d4nk4m3,682.4
2edgy4youboi,775.49
2ez2xl,721.5
2ez4medick,372.75
2fast4u271,256.76
2g00d4u,100.92
2greasy,725.52
2ik4tf,165.86
2kewl4you,19.99
2lstgun,237.84
2matoe,150.87
2muchred,1659.85
2nerdssemvida,177.8
2pacisaliveincuba,3433.66
2ptwisted,131.94
2red12,1753.97
2sBs,2426.44
2sd31,170.9
2seggy4um8havalook,54.97
2she,478.59
2sneaky5u,3106.88
2spookis,1569.47
2spooky,3799.02
2unimaginative4u,40.96
